Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
"Barber, Brad M.; Lee, Yi-Tsung; Liu, Yu-Jane; Odean, Terrance","Graduate School of Management ,  University of California; National Chengchi University; Guanghua School ,  Peking University and National Chengchi University; Haas School of Business ,  University of California",2008-04-19,The Review of Financial Studies,Just How Much Do Individual Investors Lose by Trading?,22.0,https://academic.oup.com/rfs/article/22/2/609/1595677
"Chiang, Yao-Min; Hirshleifer, David; Qian, Yiming; Sherman, Ann E.","Department of Finance, National Chengchi University; The Paul Merage School of Business, University of California, Irvine; Department of Finance, University of Iowa; Department of Finance, DePaul University",2011-03-17,The Review of Financial Studies,Do Investors Learn from Experience? Evidence from Frequent IPO Investors,24.0,https://academic.oup.com/rfs/article/24/5/1560/1614336
"Chang, Chun; Chiang, Yao-Min; Qian, Yiming; Ritter, Jay R.","Shanghai Advanced Institute of Finance, Shanghai Jiao Tong University; National Taiwan University; University of Iowa; University of Florida",2016-06-06,The Review of Financial Studies,Pre-market Trading and IPO Pricing,30.0,https://academic.oup.com/rfs/article/30/3/835/2669951
"Lin, Tse-Chun; Pursiainen, Vesa","University of Hong Kong, China and National Taiwan University ,  Taiwan; University of St. Gallen and Swiss Finance Institute ,  Switzerland",2022-08-04,The Review of Financial Studies,The Disutility of Stock Market Losses: Evidence From Domestic Violence,36.0,https://academic.oup.com/rfs/article/36/4/1703/6655703
"Chang, Yen-Cheng; Ljungqvist, Alexander; Tseng, Kevin","National Taiwan University and CRETA, National Taiwan University , Taiwan; Stockholm School of Economics, Swedish House of Finance , ABFER, CEPR, and IFN, Sweden; National Taiwan University and CRETA, National Taiwan University , Taiwan",2023-01-31,The Review of Financial Studies,Do Corporate Disclosures Constrain Strategic Analyst Behavior?,36.0,https://academic.oup.com/rfs/article/36/8/3163/7017541
