Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
"Chiang, Chun-Fang; Knight, Brian",National Taiwan University; Brown University,2011-02-16,The Review of Economic Studies,Media Bias and Influence: Evidence from Newspaper Endorsements,78.0,https://academic.oup.com/restud/article/78/3/795/1571052
"Chen, Chia-Hui",Academia Sinica,2012-01-22,The Review of Economic Studies,Name Your Own Price at Priceline.com: Strategic Bidding and Lockout Periods,79.0,https://academic.oup.com/restud/article/79/4/1341/1573679
